Changed database context to 'master'.
Changed database context to 'Day8Indexing'.
OrderId     CustomerId  OrderDate                              Amount      
----------- ----------- -------------------------------------- ------------
      43974           1            2026-03-02 02:04:08.5886800       968.04
      79309           1            2025-03-23 05:33:24.5886800       904.95
      80329           1            2026-06-04 15:49:08.5886800       630.98
       2341           2            2026-02-10 16:22:23.5886800       114.84
      20609           2            2025-12-07 05:57:57.5886800       628.02
      29375           2            2026-05-16 20:00:09.5886800        22.30
      71640           2            2025-06-03 19:39:52.5886800       328.90
      71917           2            2025-04-18 07:49:19.5886800       283.33
      79216           2            2025-10-20 14:27:56.5886800       545.30
      24197           3            2025-12-29 21:23:04.5886800       493.69
      55560           3            2026-01-31 22:57:43.5886800       472.90
      92275           3            2024-12-23 23:57:37.5886800       783.70
        814           4            2026-05-03 13:55:30.5886800       650.62
       8986           4            2024-10-25 21:21:49.5886800        62.77
      16134           4            2026-08-11 08:53:50.5886800       483.36
       2461           5            2025-12-31 08:56:19.5886800       554.93
      75396           5            2025-11-28 15:37:10.5886800        49.91
       4598           6            2024-12-08 23:08:24.5886800       413.52
      33681           6            2024-12-20 04:10:58.5886800       433.75
      95921           6            2026-02-01 20:19:48.5886800       480.50
       7135           7            2026-06-19 03:30:52.5886800       713.10
      33276           7            2025-05-16 16:21:05.5886800       849.75
      98800           7            2024-09-13 13:02:10.5886800       541.81
      18622           8            2026-03-17 19:21:41.5886800       818.23
      19119           8            2026-04-06 00:46:09.5886800       890.00
      23683           8            2025-01-05 15:34:39.5886800       966.48
      37327           8            2026-05-07 02:57:05.5886800       704.89
       1001           9            2024-09-04 06:20:55.5886800       278.46
      17722           9            2025-12-18 17:56:11.5886800       261.04
      88370           9            2025-11-13 06:16:32.5886800       465.19
      94038           9            2025-11-27 17:09:42.5886800       721.11
      97330           9            2024-09-25 03:32:52.5886800       944.23
      97502           9            2026-04-25 05:30:01.5886800       348.35
      25197          10            2025-07-06 12:40:20.5886800       990.05
      31726          10            2025-05-15 17:23:40.5886800       217.92
      37231          10            2026-01-15 05:50:05.5886800       498.27
      97949          10            2026-04-06 08:23:24.5886800       488.52
       2427          11            2026-07-19 18:34:46.5886800       651.66
      14767          11            2026-03-13 08:24:41.5886800       903.94
      38609          11            2026-04-05 14:42:30.5886800       397.67
      40777          11            2025-04-27 05:16:54.5886800       618.94
      71338          11            2024-09-03 20:23:12.5886800       510.71
      91099          11            2025-12-20 18:45:33.5886800       891.13
      67655          12            2026-08-07 19:46:46.5886800       998.91
      68186          12            2025-06-21 05:07:45.5886800       915.68
      70764          12            2026-04-24 22:37:36.5886800       707.71
      22942          13            2026-01-06 01:55:10.5886800       859.68
      50801          13            2026-05-27 04:47:02.5886800       237.54
      69168          13            2025-12-05 05:54:28.5886800        75.11
      83342          13            2024-09-23 09:42:20.5886800       899.03
      83683          13            2025-09-15 07:21:11.5886800       573.34
      20324          14            2025-09-27 10:25:19.5886800       223.27
      69143          14            2024-11-18 10:43:01.5886800       766.96
     106185          14            2024-08-24 20:24:40.4699613        30.49
      81235          15            2025-12-06 08:31:07.5886800       866.92
      98410          15            2026-05-08 04:26:27.5886800       250.17
      16179          16            2024-12-04 00:48:01.5886800       940.96
      35878          16            2026-02-21 07:43:22.5886800       657.77
      78091          16            2026-08-15 07:39:48.5886800       644.78
     101227          16            2025-02-25 21:49:01.9873216       921.71
      11250          17            2025-05-31 01:53:14.5886800       391.58
      14207          17            2025-12-20 11:19:25.5886800       926.27
      18176          17            2026-06-29 06:15:00.5886800        88.89
      60632          17            2024-09-16 05:50:26.5886800       991.41
      64461          17            2026-01-24 12:59:49.5886800       327.12
      94703          17            2026-02-07 08:52:33.5886800        19.33
      97146          17            2025-04-26 04:22:19.5886800       348.31
      45328          18            2026-05-08 10:39:40.5886800       476.90
      67093          18            2024-10-03 07:15:14.5886800       224.41
      91605          18            2025-03-24 20:19:24.5886800       657.51
      92856          18            2025-12-07 20:04:37.5886800       180.77
      23808          19            2026-03-23 20:22:01.5886800       767.55
